time,N2O Dry,N2O corr,d15N,d15N alpha,d15N alpha corr,d15N beta,d15N beta corr,Cavity temp
02/03/2010 10:13:55,302.98053,294.894714,+AC0-26.150967,+AC0-28.17,+AC0-28.172562,+AC0-32.418556,+AC0-966.178955,50.292233
02/03/2010 10:13:59,302.615448,294.449493,+AC0-41.406902,+AC0-47.47,+AC0-47.471878,+AC0-43.884274,+AC0-988.795715,50.396225
02/03/2010 10:14:03,298.985291,289.943726,+AC0-29.861099,+AC0-45.34,+AC0-45.335007,+AC0-23.518641,+AC0-1086.643188,51.528435
02/03/2010 10:14:07,297.090454,278.109894,+AC0-17.414797,+AC0-23.88,+AC0-23.877419,+AC0-19.519417,+AC0-2362.88623,64.415466
02/03/2010 10:14:11,294.755066,288.271057,+AC0-25.862736,+AC0-33.83,+AC0-33.829884,+AC0-26.557028,+AC0-790.101929,48.217659
02/03/2010 10:14:16,295.109283,284.609131,+AC0-39.818489,+AC0-50.90,+AC0-50.895927,+AC0-37.597233,+AC0-1298.870972,53.424141
02/03/2010 10:14:20,292.724152,276.030884,+AC0-18.108541,+AC0-22.24,+AC0-22.238514,+AC0-22.399763,+AC0-2097.377441,61.449375
02/03/2010 10:14:24,292.513062,274.29245,+AC0-19.487595,+AC0-25.80,+AC0-25.796144,+AC0-21.736639,+AC0-2302.478271,63.430508
02/03/2010 10:14:28,292.550598,274.354462,+AC0-19.351223,+AC0-18.51,+AC0-18.514509,+AC0-28.298161,+AC0-2306.028809,63.399986
02/03/2010 10:14:32,291.557831,280.085175,+AC0-17.798094,+AC0-13.14,+AC0-13.141662,+AC0-30.325592,+AC0-1431.915405,54.68544
02/03/2010 10:14:36,290.713989,285.929077,+AC0-18.34848,+AC0-17.11,+AC0-17.112646,+AC0-27.66955,+AC0-592.573669,46.017639
02/03/2010 10:14:40,291.849274,287.968323,+AC0-18.122427,+AC0-14.26,+AC0-14.261967,+AC0-29.903791,+AC0-482.272858,44.844616
02/03/2010 10:14:44,292.821411,284.83017,+AC0-27.718372,+AC0-33.01,+AC0-33.007912,+AC0-30.922628,+AC0-986.672058,50.171631
02/03/2010 10:14:48,293.674438,278.161652,+AC0-15.173067,+AC0-13.60,+AC0-13.600836,+AC0-24.809471,+AC0-1937.624878,59.921917
02/03/2010 10:14:52,294.131775,287.562042,+AC0-18.636717,+AC0-20.87,+AC0-20.867575,+AC0-24.708145,+AC0-800.377075,48.328514
02/03/2010 10:14:56,295.142395,235.08902,1.923082,5.85,5.85017,+AC0-9.920738,+AC0-8830.711914,117.655327
02/03/2010 10:15:00,295.745422,273.808075,+AC0-18.186523,+AC0-18.83,+AC0-18.829405,+AC0-25.746506,+AC0-2779.725342,68.247406
02/03/2010 10:15:04,296.543213,289.572693,+AC0-17.746807,+AC0-21.14,+AC0-21.13644,+AC0-22.732012,+AC0-840.508606,48.846073
02/03/2010 10:15:08,296.962097,294.924408,+AC0-13.812408,+AC0-20.37,+AC0-20.372267,+AC0-15.825881,+AC0-241.265839,42.452293
02/03/2010 10:15:12,298.217468,296.758362,+AC0-20.782669,+AC0-26.19,+AC0-26.194834,+AC0-23.871977,+AC0-180.580841,41.701431
02/03/2010 10:15:16,301.086151,297.755615,+AC0-25.144232,+AC0-36.42,+AC0-36.417068,+AC0-22.739809,+AC0-395.76825,44.126419
02/03/2010 10:15:20,301.598053,294.823853,+AC0-9.799801,+AC0-18.14,+AC0-18.14086,+AC0-10.143593,+AC0-789.533691,48.587395
02/03/2010 10:15:24,305.089752,288.589233,+AC0-12.186261,+AC0-18.80,+AC0-18.798746,+AC0-14.1504,+AC0-1973.984253,61.195168
02/03/2010 10:15:29,307.034149,292.223907,+AC0-8.125113,+AC0-13.02,+AC0-13.019763,+AC0-11.699533,+AC0-1746.937134,59.002048
02/03/2010 10:15:33,311.689148,305.576172,+AC0-7.917537,+AC0-12.46,+AC0-12.464397,+AC0-11.817971,+AC0-688.678833,47.727455
02/03/2010 10:15:37,317.445282,295.424561,1.380645,5.01,5.014198,+AC0-10.188019,+AC0-2568.374756,68.34642
02/03/2010 10:15:41,321.937897,311.278442,+AC0-0.497657,+AC0-3.35,+AC0-3.350326,+AC0-5.986207,+AC0-1173.574585,53.617355
02/03/2010 10:15:45,327.863037,319.976654,+AC0-27.51166,+AC0-53.74,+AC0-53.74155,+AC0-11.086658,+AC0-847.782471,50.020187
02/03/2010 10:15:49,331.869873,325.264008,11.589058,14.65,14.653164,0.554188,+AC0-686.260193,48.357903
02/03/2010 10:15:54,336.110626,328.614899,11.026302,14.99,14.989393,+AC0-0.851266,+AC0-773.875732,49.510479
02/03/2010 10:15:58,340.200104,325.955658,9.454987,10.94,10.944946,+AC0-0.104296,+AC0-1492.942993,58.257729
02/03/2010 10:16:02,342.596771,320.718475,12.873989,17.17,17.168982,0.6853,+AC0-2336.810303,68.150116
02/03/2010 10:16:06,344.958954,323.960968,18.757336,26.91,26.906254,2.95602,+AC0-2217.315918,67.010475
02/03/2010 10:16:10,346.260498,335.759186,12.098538,17.96,17.959957,+AC0-1.558501,+AC0-1066.29834,53.404526
02/03/2010 10:16:14,347.1203,323.270325,24.336941,33.10,33.097515,7.962262,+AC0-2520.622803,70.705887
02/03/2010 10:16:19,347.692474,317.622375,27.924393,37.75,37.747345,10.553855,+AC0-3238.004639,78.768158
02/03/2010 10:16:23,347.939789,321.997589,29.774509,38.26,38.257008,13.660497,+AC0-2748.563477,73.418861
02/03/2010 10:16:27,348.091919,322.152832,28.932701,36.73,36.730907,13.460137,+AC0-2746.880615,73.412849
02/03/2010 10:16:31,347.104767,321.728363,24.450146,32.93,32.927292,8.341148,+AC0-2696.264648,72.687462
02/03/2010 10:16:35,346.110992,320.736084,27.203728,32.32,32.318604,14.246488,+AC0-2697.862793,72.682884
02/03/2010 10:16:39,345.262024,319.892578,23.245749,29.95,29.952124,8.796656,+AC0-2710.671875,72.678482
02/03/2010 10:16:44,344.334503,322.350037,30.748669,36.83,36.831619,16.883968,+AC0-2319.120361,68.289452
02/03/2010 10:16:48,343.131256,334.841949,14.573387,15.30,15.299236,5.730372,+AC0-834.374084,50.539841
02/03/2010 10:16:52,341.94339,333.657562,15.434034,12.33,12.330773,10.180387,+AC0-832.398682,50.534653
02/03/2010 10:16:56,340.601898,332.322174,8.174045,6.85,6.852912,1.249848,+AC0-844.589111,50.52964
02/03/2010 10:17:00,338.664886,330.389069,12.779779,11.63,11.632192,5.692904,+AC0-844.630127,50.524757
02/03/2010 10:17:05,337.710632,323.926819,17.05171,18.59,18.592463,7.444816,+AC0-1445.924683,57.6651
02/03/2010 10:17:09,335.729309,319.765961,3.60018,+AC0-1.96,+AC0-1.959915,0.649542,+AC0-1706.901855,60.489105
02/03/2010 10:17:13,335.138336,319.179535,7.635518,5.31,5.307114,1.655528,+AC0-1708.746948,60.485439
02/03/2010 10:17:17,333.442108,317.485687,9.322438,6.40,6.402529,3.896918,+AC0-1715.246216,60.481537
02/03/2010 10:17:21,331.732574,315.780701,19.13472,20.16,20.161325,10.009781,+AC0-1717.823608,60.476982
02/03/2010 10:17:26,331.924927,324.601471,0.758845,+AC0-4.45,+AC0-4.446015,+AC0-2.524787,+AC0-767.478516,49.293243
02/03/2010 10:17:30,328.834473,321.871246,4.007925,+AC0-4.58,+AC0-4.583302,3.898636,+AC0-728.909973,48.826656
02/03/2010 10:17:34,329.265503,322.40564,5.100966,2.47,2.473604,+AC0-0.598784,+AC0-721.107239,48.691338
02/03/2010 10:17:39,329.751526,322.89679,+AC0-11.36694,+AC0-21.99,+AC0-21.985306,+AC0-9.57601,+AC0-728.898621,48.687729
02/03/2010 10:17:43,326.837677,319.983917,0.968142,+AC0-9.45,+AC0-9.447775,2.569298,+AC0-722.859741,48.685059
02/03/2010 10:17:47,326.310242,319.458771,4.178987,+AC0-4.67,+AC0-4.672405,4.313574,+AC0-721.960632,48.681305
02/03/2010 10:17:51,324.386322,317.157074,5.63833,+AC0-0.73,+AC0-0.727776,3.443237,+AC0-769.489075,49.173897
02/03/2010 10:17:56,325.154633,317.92807,+AC0-9.536655,+AC0-18.41,+AC0-18.40823,+AC0-9.383149,+AC0-780.419067,49.170357
02/03/2010 10:18:00,324.624146,317.398376,+AC0-2.619601,+AC0-15.43,+AC0-15.433402,1.229305,+AC0-770.65033,49.167961
02/03/2010 10:18:04,324.380005,308.927521,6.506525,+AC0-2.08,+AC0-2.082099,6.394796,+AC0-1704.923706,59.833279
02/03/2010 10:18:08,325.038788,295.69043,+AC0-1.703604,+AC0-11.00,+AC0-11.00201,+AC0-1.14999,+AC0-3411.121094,77.843391
02/03/2010 10:18:11,323.778595,294.432648,1.921106,+AC0-7.54,+AC0-7.543026,2.630069,+AC0-3421.425781,77.84066
02/03/2010 10:18:16,323.202881,293.858978,15.815677,16.18,16.183945,7.307855,+AC0-3422.784668,77.838036
02/03/2010 10:18:20,324.998169,307.617218,4.324468,1.34,1.342387,+AC0-1.042773,+AC0-1936.164917,62.332008
02/03/2010 10:18:24,324.421936,294.255768,10.507597,5.66,5.663468,6.88582,+AC0-3515.006836,78.904129
02/03/2010 10:18:29,325.545013,285.148621,12.00174,5.81,5.812333,9.641014,+AC0-4862.945801,92.162468
02/03/2010 10:18:33,325.648376,285.254852,9.609365,4.38,4.384181,6.344783,+AC0-4864.885254,92.161057
02/03/2010 10:18:37,325.023499,284.63266,20.997231,24.80,24.79656,9.27317,+AC0-4872.242188,92.159424
02/03/2010 10:18:42,327.205261,317.972198,+AC0-8.015601,+AC0-20.93,+AC0-20.92906,+AC0-4.073277,+AC0-992.259827,51.769363
02/03/2010 10:18:46,325.86676,316.635315,+AC0-4.080052,+AC0-17.59,+AC0-17.590536,0.421916,+AC0-991.742737,51.768097
02/03/2010 10:18:50,326.654968,317.422363,12.282356,10.30,10.297774,5.980071,+AC0-983.420654,51.766998
02/03/2010 10:18:54,328.574677,319.344757,+AC0-7.848032,+AC0-14.42,+AC0-14.419856,+AC0-9.850288,+AC0-993.660522,51.766102
02/03/2010 10:18:59,329.528809,320.297577,+AC0-10.798153,+AC0-24.06,+AC0-24.061766,+AC0-6.527598,+AC0-987.207703,51.765415
02/03/2010 10:19:03,329.21225,319.982117,+AC0-9.430741,+AC0-20.49,+AC0-20.49275,+AC0-7.223945,+AC0-988.853882,51.764767
02/03/2010 10:19:07,330.192169,320.961334,+AC0-5.884663,+AC0-18.96,+AC0-18.95542,+AC0-1.794889,+AC0-980.182495,51.764153
02/03/2010 10:19:11,330.491699,321.261963,+AC0-4.752139,+AC0-14.17,+AC0-14.174213,+AC0-4.082601,+AC0-981.571533,51.763535
02/03/2010 10:19:15,333.009918,323.779755,+AC0-6.825679,+AC0-13.10,+AC0-13.101315,+AC0-9.105577,+AC0-979.034668,51.763145
02/03/2010 10:19:20,333.383728,324.154083,+AC0-10.063369,+AC0-17.31,+AC0-17.310183,+AC0-11.432896,+AC0-980.297058,51.763039
02/03/2010 10:19:24,334.734711,325.503021,+AC0-5.738988,+AC0-17.00,+AC0-16.996958,+AC0-3.3485,+AC0-967.899536,51.762947
02/03/2010 10:19:28,334.604004,325.372284,2.130327,+AC0-7.42,+AC0-7.417404,2.917655,+AC0-961.839111,51.762867
02/03/2010 10:19:32,335.599213,326.366058,+AC0-1.918634,+AC0-10.90,+AC0-10.899987,+AC0-1.662222,+AC0-963.574097,51.762939
02/03/2010 10:19:36,336.455353,327.223572,9.584917,7.72,7.721556,3.169001,+AC0-956.103394,51.763115
02/03/2010 10:19:41,338.351196,329.118591,2.49734,+AC0-2.49,+AC0-2.48841,+AC0-0.991682,+AC0-954.827515,51.763374
02/03/2010 10:19:45,338.288452,329.05426,8.89505,7.75,7.751723,1.804181,+AC0-952.143372,51.763649
02/03/2010 10:19:49,339.394379,330.16098,1.962672,+AC0-0.53,+AC0-0.527828,+AC0-3.865372,+AC0-954.784607,51.763908
02/03/2010 10:19:53,339.854218,330.6185,8.964527,5.77,5.765197,3.800933,+AC0-945.570923,51.764175
02/03/2010 10:19:57,340.5979,331.362915,9.938841,8.50,8.499877,3.125098,+AC0-944.16687,51.76461
02/03/2010 10:20:02,341.211792,331.976868,9.809958,10.05,10.046079,1.42601,+AC0-944.206604,51.765244
02/03/2010 10:20:06,342.121613,332.885956,11.143921,15.00,14.996901,+AC0-0.630431,+AC0-943.767517,51.7659
02/03/2010 10:20:10,342.600464,333.364624,9.866295,11.50,11.498287,0.173872,+AC0-941.632874,51.766548
02/03/2010 10:20:14,343.168243,333.930664,16.548775,18.14,18.144545,6.890305,+AC0-933.149292,51.767105
02/03/2010 10:20:19,343.125214,333.887726,13.90735,13.70,13.697298,5.941638,+AC0-934.29425,51.767628
02/03/2010 10:20:23,344.248352,335.008423,14.793417,18.87,18.868557,2.810814,+AC0-934.371094,51.768318
02/03/2010 10:20:27,344.436829,335.197083,16.078566,19.87,19.866957,4.364758,+AC0-932.323486,51.76918
02/03/2010 10:20:31,344.658813,335.418793,17.27104,19.92,19.918592,6.626641,+AC0-929.458313,51.770142
02/03/2010 10:20:35,345.36142,336.120392,16.005476,15.89,15.88566,7.955181,+AC0-926.186096,51.770973
02/03/2010 10:20:40,345.24762,336.006409,14.793346,14.65,14.652842,6.762444,+AC0-927.794617,51.771717
02/03/2010 10:20:44,345.283569,336.041473,14.050385,19.21,19.208628,1.052494,+AC0-933.612305,51.772408
02/03/2010 10:20:48,345.525452,336.283783,17.49427,25.10,25.099337,2.202754,+AC0-931.797546,51.772842
02/03/2010 10:20:52,345.673767,336.430939,18.272684,23.40,23.404676,5.299401,+AC0-928.268372,51.773735
02/03/2010 10:20:57,345.633392,336.389709,15.763069,25.37,25.371515,+AC0-1.406393,+AC0-935.352539,51.774757
02/03/2010 10:21:01,345.287689,336.043549,14.676063,23.98,23.980818,+AC0-2.208723,+AC0-937.230957,51.775772
02/03/2010 10:21:05,345.411316,336.167114,17.17827,27.48,27.484671,+AC0-0.645446,+AC0-935.360535,51.776691
02/03/2010 10:21:09,345.322327,336.078339,19.826071,30.32,30.321239,1.825404,+AC0-933.141602,51.777451
02/03/2010 10:21:13,344.730804,335.484894,19.745556,29.28,29.284899,2.640868,+AC0-933.992859,51.778004
02/03/2010 10:21:18,344.410736,335.16391,18.646425,29.48,29.478727,0.329733,+AC0-937.338928,51.7789
02/03/2010 10:21:22,344.812042,335.565674,17.269554,30.65,30.653858,+AC0-3.439357,+AC0-940.172791,51.779854
02/03/2010 10:21:26,344.239319,334.990387,20.785587,31.58,31.584906,2.499813,+AC0-935.739685,51.780792
02/03/2010 10:21:30,344.063446,334.814392,17.610411,29.71,29.706078,+AC0-1.890548,+AC0-940.831787,51.781746
02/03/2010 10:21:34,343.624268,334.375275,15.690733,28.36,28.355167,+AC0-4.343381,+AC0-944.654602,51.782406
02/03/2010 10:21:38,343.325989,334.076294,19.51136,31.15,31.152548,0.436429,+AC0-940.628113,51.782928
02/03/2010 10:21:43,343.050751,333.801208,18.978786,30.47,30.474569,0.040156,+AC0-941.872253,51.783516
02/03/2010 10:21:47,343.256317,334.006104,17.081364,31.04,31.044878,+AC0-4.170494,+AC0-945.691345,51.784447
02/03/2010 10:21:51,342.785828,333.535217,11.208569,24.29,24.288109,+AC0-9.214661,+AC0-952.272827,51.785156
02/03/2010 10:21:56,342.133453,332.882874,15.600368,27.35,27.345352,+AC0-3.571864,+AC0-948.401062,51.78587
02/03/2010 10:22:00,342.839081,333.586792,20.158112,32.26,32.256378,0.654718,+AC0-942.077637,51.786453
02/03/2010 10:22:04,342.349487,333.09903,11.449335,26.54,26.541325,+AC0-10.860342,+AC0-955.361145,51.786819
02/03/2010 10:22:08,342.21347,332.962311,16.8799,35.52,35.516029,+AC0-8.752017,+AC0-953.610657,51.787212
02/03/2010 10:22:12,341.486237,332.235229,11.829585,25.62,25.620741,+AC0-9.260706,+AC0-956.276245,51.787842
02/03/2010 10:22:17,342.254395,333.002808,12.098155,26.72,26.717943,+AC0-9.768887,+AC0-954.654724,51.788544
02/03/2010 10:22:21,341.531158,332.279114,13.655383,27.65,27.652998,+AC0-7.62844,+AC0-954.581421,51.7892
02/03/2010 10:22:25,341.090515,331.836212,15.25954,29.63,29.633001,+AC0-6.376598,+AC0-954.575623,51.789635
02/03/2010 10:22:29,340.41629,331.161896,12.98306,22.26,22.260506,+AC0-3.876128,+AC0-953.993591,51.790119
02/03/2010 10:22:33,340.894043,331.63974,15.345955,29.63,29.634012,+AC0-6.210125,+AC0-955.049622,51.790504
02/03/2010 10:22:38,340.393005,331.139008,14.859962,29.60,29.604321,+AC0-7.123851,+AC0-957.473389,51.790886
02/03/2010 10:22:42,339.970032,330.716309,7.641129,20.72,20.722006,+AC0-12.783353,+AC0-964.562866,51.791374
02/03/2010 10:22:46,340.180634,330.9263,10.314826,22.23,22.225328,+AC0-9.01256,+AC0-960.115417,51.79187
02/03/2010 10:22:50,339.357666,330.102966,12.952746,27.57,27.572495,+AC0-8.914258,+AC0-962.443909,51.792358
02/03/2010 10:22:55,339.669464,330.413727,16.827164,31.86,31.856798,+AC0-5.424064,+AC0-957.970276,51.792717
02/03/2010 10:22:59,340.809692,331.553467,4.88907,17.41,17.406994,+AC0-15.007707,+AC0-964.540466,51.792999
02/03/2010 10:23:03,340.154114,330.898529,7.204747,19.36,19.363678,+AC0-12.355513,+AC0-963.744385,51.793297
02/03/2010 10:23:07,339.825378,330.569733,12.503896,28.21,28.212681,+AC0-10.383958,+AC0-962.711365,51.793747
02/03/2010 10:23:11,339.878784,330.621521,11.924643,24.20,24.201536,+AC0-7.746195,+AC0-959.866943,51.794189
02/03/2010 10:23:15,339.567596,330.310822,13.670338,30.28,30.283569,+AC0-10.065336,+AC0-963.203003,51.794655
02/03/2010 10:23:20,339.242676,329.986023,16.787642,29.96,29.960108,+AC0-3.722697,+AC0-957.651123,51.794884
02/03/2010 10:23:24,340.360077,331.10379,10.063153,22.37,22.374031,+AC0-9.63954,+AC0-960.516724,51.795139
02/03/2010 10:23:28,339.642578,330.384125,11.115496,25.69,25.689205,+AC0-10.708351,+AC0-963.693848,51.795387
02/03/2010 10:23:32,339.732727,330.47406,11.60631,23.74,23.742956,+AC0-7.933061,+AC0-960.603882,51.795685
02/03/2010 10:23:36,339.317688,330.059418,17.823935,31.92,31.923885,+AC0-3.555818,+AC0-957.346863,51.796021
02/03/2010 10:23:41,339.540039,330.281952,15.060706,28.04,28.040247,+AC0-5.268785,+AC0-958.496948,51.796394
02/03/2010 10:23:45,339.282288,330.023987,17.011944,33.76,33.755753,+AC0-6.846129,+AC0-960.887817,51.796631
02/03/2010 10:23:49,339.872375,330.612823,14.884208,28.65,28.650061,+AC0-6.182363,+AC0-958.497498,51.796871
02/03/2010 10:23:53,340.709778,331.450012,11.282769,24.20,24.201859,+AC0-8.990055,+AC0-958.976929,51.797092
02/03/2010 10:23:57,340.204315,330.944305,15.616219,28.44,28.443188,+AC0-4.570253,+AC0-955.914429,51.797325
02/03/2010 10:24:02,340.166656,330.907288,15.231715,26.56,26.556444,+AC0-3.546573,+AC0-955.001587,51.797577
02/03/2010 10:24:06,340.275116,331.016418,10.522297,22.04,22.037785,+AC0-8.434807,+AC0-959.7453,51.797859
02/03/2010 10:24:10,341.051727,331.792572,11.638859,25.80,25.80378,+AC0-9.801793,+AC0-958.919312,51.79805
02/03/2010 10:24:14,340.363312,331.10495,13.494955,27.03,27.026104,+AC0-7.351605,+AC0-958.410828,51.798191
02/03/2010 10:24:18,340.560364,331.299866,12.43809,25.40,25.396992,+AC0-7.872054,+AC0-958.366333,51.798351
02/03/2010 10:24:23,340.606537,331.346375,14.225048,26.31,26.308493,+AC0-5.264451,+AC0-955.564026,51.798431
02/03/2010 10:24:27,341.192078,331.932556,7.32658,20.59,20.588522,+AC0-13.267632,+AC0-962.116211,51.798523
02/03/2010 10:24:31,341.33429,332.075195,9.427348,22.25,22.249046,+AC0-10.754184,+AC0-959.130493,51.798546
02/03/2010 10:24:35,340.725128,331.464874,14.524083,25.92,25.924721,+AC0-4.325362,+AC0-954.27063,51.798599
02/03/2010 10:24:39,341.375641,332.115936,12.895835,25.26,25.256903,+AC0-6.853907,+AC0-955.005005,51.798645
02/03/2010 10:24:43,340.854279,331.595215,16.002655,27.45,27.449406,+AC0-2.890014,+AC0-952.443054,51.798679
02/03/2010 10:24:48,341.064178,331.801697,16.595533,28.96,28.963568,+AC0-3.160737,+AC0-952.078735,51.798698
02/03/2010 10:24:52,341.030029,331.771179,16.909779,30.47,30.465364,+AC0-3.95969,+AC0-953.040894,51.798706
02/03/2010 10:24:56,341.523102,332.262695,11.601275,20.86,20.855711,+AC0-5.236344,+AC0-952.909119,51.79863
02/03/2010 10:25:00,341.242676,331.98288,15.718987,27.49,27.486586,+AC0-3.474441,+AC0-951.905396,51.798561
02/03/2010 10:25:04,341.69278,332.433228,12.578087,22.65,22.648067,+AC0-5.024014,+AC0-952.197754,51.798454
02/03/2010 10:25:09,341.293549,332.034912,13.824447,26.69,26.693636,+AC0-6.401601,+AC0-954.762207,51.798359
02/03/2010 10:25:13,341.635803,332.37561,14.295884,27.85,27.851168,+AC0-6.573302,+AC0-953.933044,51.798309
02/03/2010 10:25:17,342.035736,332.777985,13.437447,23.20,23.199028,+AC0-3.875563,+AC0-950.023254,51.798111
02/03/2010 10:25:21,342.333893,333.076599,10.387447,19.86,19.862284,+AC0-6.656772,+AC0-952.012695,51.797882
02/03/2010 10:25:25,341.73764,332.47934,18.016672,31.13,31.133265,+AC0-2.44129,+AC0-949.348816,51.797577
02/03/2010 10:25:29,341.919617,332.662537,9.027315,22.13,22.133278,+AC0-11.420683,+AC0-958.04895,51.797356
02/03/2010 10:25:34,342.543976,333.285675,13.438292,22.96,22.955448,+AC0-3.645597,+AC0-948.24054,51.797157
02/03/2010 10:25:38,342.665039,333.405762,14.787271,23.47,23.466837,+AC0-1.51147,+AC0-945.669983,51.796928
02/03/2010 10:25:42,343.034546,333.776855,11.854362,20.85,20.84803,+AC0-4.738817,+AC0-947.927551,51.796661
02/03/2010 10:25:46,342.746368,333.4888,14.911795,26.30,26.299496,+AC0-3.925522,+AC0-947.881042,51.796295
02/03/2010 10:25:50,342.819031,333.561493,12.85686,21.96,21.955536,+AC0-3.83475,+AC0-947.544189,51.795891
02/03/2010 10:25:54,342.631287,333.373901,13.879478,25.16,25.164511,+AC0-4.8616,+AC0-949.115173,51.795658
02/03/2010 10:25:58,343.222687,333.965881,11.758842,21.96,21.960043,+AC0-5.966265,+AC0-948.542358,51.795326
02/03/2010 10:26:03,342.879089,333.621918,13.189992,23.28,23.279648,+AC0-4.430552,+AC0-947.906494,51.794975
02/03/2010 10:26:07,343.264435,334.008301,13.406266,25.76,25.760944,+AC0-6.337484,+AC0-948.736877,51.794487
02/03/2010 10:26:11,343.209656,333.9534,16.354982,24.89,24.886271,0.195235,+AC0-942.135315,51.794014
02/03/2010 10:26:15,343.109222,333.853851,17.142025,29.76,29.764307,+AC0-2.852576,+AC0-945.527771,51.793625
02/03/2010 10:26:19,343.137238,333.881012,16.709101,28.65,28.646753,+AC0-2.643735,+AC0-945.184814,51.793194
02/03/2010 10:26:24,343.084839,333.830841,17.577072,29.96,29.955235,+AC0-2.188694,+AC0-944.867493,51.792927
02/03/2010 10:26:28,343.562378,334.306946,16.57749,26.37,26.372791,+AC0-0.767129,+AC0-942.001648,51.792572
